"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R9,R15,R10,R12";"R_0805_2012Metric";4;"1k";;;
2;"J3,J14,J8,J11";"SolderWirePad_1x01_SMD_1x2mm";4;"GND";;;
3;"J7,J12";"SolderWirePad_1x01_SMD_1x2mm";2;"VCC_3V3";;;
4;"R1,R2";"R_0805_2012Metric";2;"5k1";;;
5;"L1";"D_SMP_DO-220AA";1;"CD32";;;
6;"U2";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
7;"U6";"SOT-23-6";1;"MT3608";;;
8;"D4";"SOD3715X145N";1;"1N5819HW-7-F";;;
9;"C18,C17,C13,C4,C2,C9";"C_0805_2012Metric";6;"10uF";;;
10;"J10,J6,J13";"SolderWirePad_1x01_SMD_1x2mm";3;"DATA";;;
11;"S1";"SW_EG1270";1;"EG1270";;;
12;"P1";"JST_S2B-PH-SM4-TB";1;"S2B-PH-SM4-TB";;;
13;"R3";"R_0805_2012Metric";1;"75";;;
14;"Q2";"TO-220-3_Vertical";1;"FQP27P06";;;
15;"J1";"HRO_TYPE-C-31-M-12";1;"TYPE-C-31-M-12";;;
16;"R11,R6,R7,R5,R8,R4,R14";"R_0805_2012Metric";7;"10k";;;
17;"SW2,SW1";"SW_PTS810_SJM_250_SMTR_LFS";2;"PTS810_SJM_250_SMTR_LFS";;;
18;"C15,C14";"C_0805_2012Metric";2;"22uF";;;
19;"C10,C7,C3,C5,C11,C12,C6";"C_0805_2012Metric";7;"0u1F";;;
20;"U4";"SOT-23-6";1;"DW01A";;;
21;"C16,C1";"C_0805_2012Metric";2;"22pF";;;
22;"U1";"ESP32-C3-WROOM-02";1;"ESP32-C3-WROOM-02";;;
23;"R18";"R_0805_2012Metric";1;"100k";;;
24;"R17";"R_0805_2012Metric";1;"27k";;;
25;"D6";"LED_0402_1005Metric";1;"B";;;
26;"R16";"R_0805_2012Metric";1;"7.5k";;;
27;"J9";"SolderWirePad_1x01_SMD_1x2mm";1;"5V";;;
28;"D8";"D_0402_1005Metric";1;"SB220";;;
29;"Q1";"SOP65P640X120-8N";1;"FS8205A";;;
30;"D7";"LED_0402_1005Metric";1;"R";;;
31;"U3";"SOP127P600X175-9N";1;"TP4056";;;
32;"C8";"C_0805_2012Metric";1;"1uF";;;
33;"D9";"D_SMA";1;"SS34";;;
34;"D2,D3,D1";"TVS_LESD5D5.0CT1G";3;"LESD5D5.0CT1G";;;
35;"U5";"IC_HT7333";1;"HT7333";;;
36;"R13";"R_0805_2012Metric";1;"100";;;
37;"J2";"SolderWirePad_1x01_SMD_1x2mm";1;"VCC_4V";;;
38;"PWR";"LED_0402_1005Metric";1;"PWRLED";;;
