Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16",805,2,22pF,C1804
"C10, C11, C12, C3, C5, C6, C7",805,7,0u1F,C3018562 
"C13, C17, C18, C2, C4, C9",805,6,10uF,C95841
"C14, C15",805,2,22uF,C98190
C8,805,1,1uF,C2167365 
"D1, D2, D3",TVS_LESD5D5.0CT1G,3,LESD5D5.0CT1G,C5199850 
D10,D_SMA,1,SS24,C5190156
D4,SOD3715X145N,1,1N5819HW-7-F,C82544 
D6,402,1,B,C598348 
D7,402,1,R,C598349 
D9,D_SMA,1,SS34,C8678
J1,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,C165948 
L1,D_SMP_DO-220AA,1,CD32,C41408473 
P1,JST_S2B-PH-SM4-TB,1,S2B-PH-SM4-TB,C295747 
PWR,402,1,PWRLED,C598352 
Q1,SOP65P640X120-8N,1,FS8205A,C2830320 
Q2,TO-220-3_Vertical,1,FQP27P06,C7503194
"R1, R2",805,2,5k1,C122968
"R10, R12, R15, R9",805,4,1k,C95781 
"R11, R14, R4, R5, R6, R7, R8",805,7,10k,C84376 
R13,805,1,100,C17408 
R16,805,1,7.5k,C17807 
R17,805,1,27k,C17593 
R18,805,1,100k,C96346 
R3,805,1,75,C17820 
S1,SW_EG1247,1,EG1247,C431548
"SW1, SW2",SW_PTS810_SJM_250_SMTR_LFS,2,PTS810_SJM_250_SMTR_LFS,C116501 
U1,ESP32-C3-WROOM-02,1,ESP32-C3-WROOM-02,C2934560 
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186 
U3,SOP127P600X175-9N,1,TP4056,C382139 
U4,SOT-23-6,1,DW01A,C2927799 
U5,IC_HT7333,1,HT7333,C7434186 
U6,SOT-23-6,1,MT3608,C84817 
